model,gpu,ctx_len,kv_cache_gib_per_seq,kv_limited_concurrency,scheduler_limited_concurrency,effective_concurrency,binding
HuggingFaceTB/SmolLM2-1.7B,NVIDIA L4,4096,0.75,28,256,28,kv
HuggingFaceTB/SmolLM2-1.7B,NVIDIA L4,8192,1.5,14,256,14,kv
HuggingFaceTB/SmolLM2-1.7B,NVIDIA L4,16384,3.0,7,256,7,kv
HuggingFaceTB/SmolLM2-1.7B,NVIDIA L4,32768,6.0,3,256,3,kv
HuggingFaceTB/SmolLM2-1.7B,NVIDIA L4,65536,12.0,1,256,1,kv
HuggingFaceTB/SmolLM2-1.7B,NVIDIA A100 80GB,4096,0.75,96,256,96,kv
HuggingFaceTB/SmolLM2-1.7B,NVIDIA A100 80GB,8192,1.5,48,256,48,kv
HuggingFaceTB/SmolLM2-1.7B,NVIDIA A100 80GB,16384,3.0,24,256,24,kv
HuggingFaceTB/SmolLM2-1.7B,NVIDIA A100 80GB,32768,6.0,12,256,12,kv
HuggingFaceTB/SmolLM2-1.7B,NVIDIA A100 80GB,65536,12.0,6,256,6,kv
HuggingFaceTB/SmolLM2-1.7B,NVIDIA H100 80GB,4096,0.75,96,256,96,kv
HuggingFaceTB/SmolLM2-1.7B,NVIDIA H100 80GB,8192,1.5,48,256,48,kv
HuggingFaceTB/SmolLM2-1.7B,NVIDIA H100 80GB,16384,3.0,24,256,24,kv
HuggingFaceTB/SmolLM2-1.7B,NVIDIA H100 80GB,32768,6.0,12,256,12,kv
HuggingFaceTB/SmolLM2-1.7B,NVIDIA H100 80GB,65536,12.0,6,256,6,kv
HuggingFaceTB/SmolLM2-360M,NVIDIA L4,4096,0.15625,138,256,138,kv
HuggingFaceTB/SmolLM2-360M,NVIDIA L4,8192,0.3125,69,256,69,kv
HuggingFaceTB/SmolLM2-360M,NVIDIA L4,16384,0.625,34,256,34,kv
HuggingFaceTB/SmolLM2-360M,NVIDIA L4,32768,1.25,17,256,17,kv
HuggingFaceTB/SmolLM2-360M,NVIDIA L4,65536,2.5,8,256,8,kv
HuggingFaceTB/SmolLM2-360M,NVIDIA A100 80GB,4096,0.15625,460,256,256,scheduler
HuggingFaceTB/SmolLM2-360M,NVIDIA A100 80GB,8192,0.3125,230,256,230,kv
HuggingFaceTB/SmolLM2-360M,NVIDIA A100 80GB,16384,0.625,115,256,115,kv
HuggingFaceTB/SmolLM2-360M,NVIDIA A100 80GB,32768,1.25,57,256,57,kv
HuggingFaceTB/SmolLM2-360M,NVIDIA A100 80GB,65536,2.5,28,256,28,kv
HuggingFaceTB/SmolLM2-360M,NVIDIA H100 80GB,4096,0.15625,460,256,256,scheduler
HuggingFaceTB/SmolLM2-360M,NVIDIA H100 80GB,8192,0.3125,230,256,230,kv
HuggingFaceTB/SmolLM2-360M,NVIDIA H100 80GB,16384,0.625,115,256,115,kv
HuggingFaceTB/SmolLM2-360M,NVIDIA H100 80GB,32768,1.25,57,256,57,kv
HuggingFaceTB/SmolLM2-360M,NVIDIA H100 80GB,65536,2.5,28,256,28,kv
HuggingFaceTB/SmolLM2-135M,NVIDIA L4,4096,0.087890625,245,256,245,kv
HuggingFaceTB/SmolLM2-135M,NVIDIA L4,8192,0.17578125,122,256,122,kv
HuggingFaceTB/SmolLM2-135M,NVIDIA L4,16384,0.3515625,61,256,61,kv
HuggingFaceTB/SmolLM2-135M,NVIDIA L4,32768,0.703125,30,256,30,kv
HuggingFaceTB/SmolLM2-135M,NVIDIA L4,65536,1.40625,15,256,15,kv
HuggingFaceTB/SmolLM2-135M,NVIDIA A100 80GB,4096,0.087890625,819,256,256,scheduler
HuggingFaceTB/SmolLM2-135M,NVIDIA A100 80GB,8192,0.17578125,409,256,256,scheduler
HuggingFaceTB/SmolLM2-135M,NVIDIA A100 80GB,16384,0.3515625,204,256,204,kv
HuggingFaceTB/SmolLM2-135M,NVIDIA A100 80GB,32768,0.703125,102,256,102,kv
HuggingFaceTB/SmolLM2-135M,NVIDIA A100 80GB,65536,1.40625,51,256,51,kv
HuggingFaceTB/SmolLM2-135M,NVIDIA H100 80GB,4096,0.087890625,819,256,256,scheduler
HuggingFaceTB/SmolLM2-135M,NVIDIA H100 80GB,8192,0.17578125,409,256,256,scheduler
HuggingFaceTB/SmolLM2-135M,NVIDIA H100 80GB,16384,0.3515625,204,256,204,kv
HuggingFaceTB/SmolLM2-135M,NVIDIA H100 80GB,32768,0.703125,102,256,102,kv
HuggingFaceTB/SmolLM2-135M,NVIDIA H100 80GB,65536,1.40625,51,256,51,kv
Qwen/Qwen2.5-1.5B,NVIDIA L4,4096,0.109375,197,256,197,kv
Qwen/Qwen2.5-1.5B,NVIDIA L4,8192,0.21875,98,256,98,kv
Qwen/Qwen2.5-1.5B,NVIDIA L4,16384,0.4375,49,256,49,kv
Qwen/Qwen2.5-1.5B,NVIDIA L4,32768,0.875,24,256,24,kv
Qwen/Qwen2.5-1.5B,NVIDIA L4,65536,1.75,12,256,12,kv
Qwen/Qwen2.5-1.5B,NVIDIA A100 80GB,4096,0.109375,658,256,256,scheduler
Qwen/Qwen2.5-1.5B,NVIDIA A100 80GB,8192,0.21875,329,256,256,scheduler
Qwen/Qwen2.5-1.5B,NVIDIA A100 80GB,16384,0.4375,164,256,164,kv
Qwen/Qwen2.5-1.5B,NVIDIA A100 80GB,32768,0.875,82,256,82,kv
Qwen/Qwen2.5-1.5B,NVIDIA A100 80GB,65536,1.75,41,256,41,kv
Qwen/Qwen2.5-1.5B,NVIDIA H100 80GB,4096,0.109375,658,256,256,scheduler
Qwen/Qwen2.5-1.5B,NVIDIA H100 80GB,8192,0.21875,329,256,256,scheduler
Qwen/Qwen2.5-1.5B,NVIDIA H100 80GB,16384,0.4375,164,256,164,kv
Qwen/Qwen2.5-1.5B,NVIDIA H100 80GB,32768,0.875,82,256,82,kv
Qwen/Qwen2.5-1.5B,NVIDIA H100 80GB,65536,1.75,41,256,41,kv
google/gemma-3-1b-pt,NVIDIA L4,4096,0.0263671875,819,256,256,scheduler
google/gemma-3-1b-pt,NVIDIA L4,8192,0.0419921875,514,256,256,scheduler
google/gemma-3-1b-pt,NVIDIA L4,16384,0.0732421875,294,256,256,scheduler
google/gemma-3-1b-pt,NVIDIA L4,32768,0.1357421875,159,256,159,kv
google/gemma-3-1b-pt,NVIDIA L4,65536,0.2607421875,82,256,82,kv
google/gemma-3-1b-pt,NVIDIA A100 80GB,4096,0.0263671875,2730,256,256,scheduler
google/gemma-3-1b-pt,NVIDIA A100 80GB,8192,0.0419921875,1714,256,256,scheduler
google/gemma-3-1b-pt,NVIDIA A100 80GB,16384,0.0732421875,983,256,256,scheduler
google/gemma-3-1b-pt,NVIDIA A100 80GB,32768,0.1357421875,530,256,256,scheduler
google/gemma-3-1b-pt,NVIDIA A100 80GB,65536,0.2607421875,276,256,256,scheduler
google/gemma-3-1b-pt,NVIDIA H100 80GB,4096,0.0263671875,2730,256,256,scheduler
google/gemma-3-1b-pt,NVIDIA H100 80GB,8192,0.0419921875,1714,256,256,scheduler
google/gemma-3-1b-pt,NVIDIA H100 80GB,16384,0.0732421875,983,256,256,scheduler
google/gemma-3-1b-pt,NVIDIA H100 80GB,32768,0.1357421875,530,256,256,scheduler
google/gemma-3-1b-pt,NVIDIA H100 80GB,65536,0.2607421875,276,256,256,scheduler
mistralai/Ministral-3-3B-Base-2512,NVIDIA L4,4096,0.40625,53,256,53,kv
mistralai/Ministral-3-3B-Base-2512,NVIDIA L4,8192,0.8125,26,256,26,kv
mistralai/Ministral-3-3B-Base-2512,NVIDIA L4,16384,1.625,13,256,13,kv
mistralai/Ministral-3-3B-Base-2512,NVIDIA L4,32768,3.25,6,256,6,kv
mistralai/Ministral-3-3B-Base-2512,NVIDIA L4,65536,6.5,3,256,3,kv
mistralai/Ministral-3-3B-Base-2512,NVIDIA A100 80GB,4096,0.40625,177,256,177,kv
mistralai/Ministral-3-3B-Base-2512,NVIDIA A100 80GB,8192,0.8125,88,256,88,kv
mistralai/Ministral-3-3B-Base-2512,NVIDIA A100 80GB,16384,1.625,44,256,44,kv
mistralai/Ministral-3-3B-Base-2512,NVIDIA A100 80GB,32768,3.25,22,256,22,kv
mistralai/Ministral-3-3B-Base-2512,NVIDIA A100 80GB,65536,6.5,11,256,11,kv
mistralai/Ministral-3-3B-Base-2512,NVIDIA H100 80GB,4096,0.40625,177,256,177,kv
mistralai/Ministral-3-3B-Base-2512,NVIDIA H100 80GB,8192,0.8125,88,256,88,kv
mistralai/Ministral-3-3B-Base-2512,NVIDIA H100 80GB,16384,1.625,44,256,44,kv
mistralai/Ministral-3-3B-Base-2512,NVIDIA H100 80GB,32768,3.25,22,256,22,kv
mistralai/Ministral-3-3B-Base-2512,NVIDIA H100 80GB,65536,6.5,11,256,11,kv
